所要時間,開始時間,終了時間,セッション名,発表者数,発表者,所属,タイトル
1:10,8:30,9:40,セッション7 音,7,谷重 翔生,神戸大,台本読みの技術向上のための入力音声の音声分析に基づく読み上げ度合い推定手法
,,,セッション7 音,,式田　陽,京都産業大学,身体的フィードバックを用いた空間上ドラム演奏システムにおける演奏者のパフォーマンス向上の提案
,,,セッション7 音,,横山 健琉,立命館大学,静電容量型加速度センサに対する音波照射を利用した加速度データへの情報埋め込み
,,,セッション7 音,,辻 凌弥,神戸大,動的な振動付与や音再生・流量変化によって飲料の過剰摂取を防止するストローの提案
,,,セッション7 音,,高橋 大輝,立命館大学,アクティブ音響センシングを用いたゆで卵の断面状態識別手法の提案
,,,セッション7 音,,引原 翼,神戸大,和音の構成音のずれから生じるうなりの強調提示による合唱練習支援システムの実装と評価
,,,セッション7 音,,岩切 俊佑,立命館大学,アクティブ音響センシングを用いたウェアラブルリングデバイスのための個人認証手法の提案
0:10,9:40,9:50,休憩,,,,
1:10,9:50,11:00,セッション8 健康・医療,7,中山 息吹,神戸大,ウェアラブルセンシングを用いた胃の活動状態推定システムの提案
,,,セッション8 健康・医療,,田中 智也,神戸大,人の接触と消毒を提示することで接触感染を予防する手法の評価
,,,セッション8 健康・医療,,村瀬　愛海,倉敷高等学校,左手書字によるストレス検証と改善ツールの提案
,,,セッション8 健康・医療,,竹川 稜祐,神戸大,サポータ型前十字靭帯損傷予防システムのためのストレッチセンサを用いた膝関節屈曲・外反角度推定手法
,,,セッション8 健康・医療,,鈴鹿 聖之介,立命館大学,目の疲労軽減のための研究
,,,セッション8 健康・医療,,小田 征史朗,神戸大,身体動作を用いたパズルゲームによるバランス機能の推定手法の提案
,,,セッション8 健康・医療,,Adhe Rahmatullah Sugiharto Suwito P,Kobe University,Contraction Force Estimation of Forearm Muscle Using Stretch-Sensor Glove in Different Cylinder Grasping Power Schemes
0:10,11:00,11:10,休憩,,,,
1:20,11:10,12:30,セッション9 スポーツ,8,LIU XIMAN,兵庫県立神戸高校,慣性センサを用いたテコンドー不正キック判別システムの提案およびセンサの組合せの検討
,,,セッション9 スポーツ,,谷本 維吹,京都産業大学,バスケのシュートにおける骨格の動きを比較できるシステムの提案
,,,セッション9 スポーツ,,秋山 幸輝,立命館大学,サッカー初心者のためのリフティング練習支援シューズの設計と実装
,,,セッション9 スポーツ,,井上 大雅,神戸大,皆が楽しめるドッジボールを実現するウェアラブルシステムのためのルール設計
,,,セッション9 スポーツ,,金 宏潤,神戸大,空手の組手試合中における慣性センサを用いた予備動作有無の推定
,,,セッション9 スポーツ,,水谷 元紀,神戸大学,野球のストライク判定のミスを減らすためのARを用いた判定支援システム
,,,セッション9 スポーツ,,水野 悟朗,立命館大学,野球ボールに内蔵された加速度センサと角速度センサを用いた投球者識別手法の提案
,,,セッション9 スポーツ,,松見 涼輔,神戸大学,サッカーのドリブルにおけるフェイト動作の巧さの3次元動作解析を用いた評価システムの提案
0:50,12:30,13:20,昼食,,,,
1:20,13:20,14:40,セッション10 視覚・視線,8,井ノ上 昌哉,立命館大学,本人のみが知る画像とそれをもとに生成した画像を提示したときの視線情報を用いた個人認証手法の提案
,,,セッション10 視覚・視線,,浦久保 翔平,神戸大,周囲の人の注意や関心に気づくためのウェアラブルカメラとARを用いた視線可視化システム
,,,セッション10 視覚・視線,,清家 颯哉,京都産業大学,カメラ付きアームを搭載した運搬型ロボットによるエレベータ利用システムの開発
,,,セッション10 視覚・視線,,柴田 拓磨,神戸大,ライフログを用いた文字入力特性調査に基づく一般物体認識ベース予測変換の候補推定アルゴリズム検討
,,,セッション10 視覚・視線,,津嶌 匠,京都産業大学,花札初心者のためのMRサポートシステムの提案
,,,セッション10 視覚・視線,,佐藤 宏樹,神戸大,明暗順応支援システムのための進行方向の明るさ変化予測機構
,,,セッション10 視覚・視線,,山本 剛生,神戸大,少数のLEDで映像を再現するためのLED配置決定手法
,,,セッション10 視覚・視線,,宮崎 快利,京都産業大学,AIカメラを用いたジェスチャベースのバイオメトリック認証の提案
0:10,14:40,14:50,休憩,,,,
1:20,14:50,16:10,セッション11 頭部・顔,8,Salman Al Maghribi Suwandi,Kobe University,Investigating the Influence of Color and Shape Target to SSVEP Brain Computer Interface
,,,セッション11 頭部・顔,,小笹山 涼,神戸大,会話中に好印象な視線行動を促すウェアラブルデバイスの提案
,,,セッション11 頭部・顔,,猪熊 洸希,立命館大学,ヒアラブルデバイス内に搭載した気圧センサを用いた接触・非接触入力手法の提案
,,,セッション11 頭部・顔,,京極 太一,神戸大学,視界の遮蔽による瞳孔径の制御と流動性知能の関係について
,,,セッション11 頭部・顔,,大村 一樹,神戸大学,ゲーム中の映像酔いを防ぐディスプレイ周辺エフェクトの提案
,,,セッション11 頭部・顔,,遊間 大貴,立命館大学,スマートフォンに搭載されたインカメラの顔映像の脈波とアウトカメラの指映像の脈波を利用した個人識別手法の提案
,,,セッション11 頭部・顔,,金辻 陽平,神戸大,タスク切り替え直前の映像提示によるタスク復帰支援システムの実装
,,,セッション11 頭部・顔,,五十嵐 雄也,立命館大学,Silent Speech Eyewear Interface:赤外線距離センサ付きアイウェア及び耳装着型マイクを用いた無声発話認識手法
0:10,16:10,16:20,休憩,,,,
0:50,16:20,17:10,セッション12 一般2,5,大西 鮎美,神戸大,柔軟な触覚センサによって浮腫の状態を計測するウェアラブルデバイスの提案
,,,セッション12 一般2,,毛 昊珉,神戸大,とあるテレビ番組システムの開発から現場開発について
,,,セッション12 一般2,,石塚　裕己,大阪大学,簡易で安価な柔軟なソフトセンサのHCI応用
,,,セッション12 一般2,,寺田 努,神戸大学,「待ち」と「移動」に新たな価値をもたせることによる混雑緩和・周遊性向上
,,,セッション12 一般2,,塚本 昌彦,神戸大学,カラーパススルーHMDにおける顔映像のリアルタイムモザイク処理について
0:20,17:10,17:30,クロージング,,,,
